Primary channel group (Default Channel Group),Source / medium,Key events,Ads cost,Cost per key event,Ads impressions,Ads clicks,Ads cost per click,Total revenue,Return on ad spend
Organic Search,google / organic,907.072546,0,0,0,0,0,0,0
Direct,(direct) / (none),817,0,0,0,0,0,0,0
Referral,tagassistant.google.com / referral,152.958216,0,0,0,0,0,0,0
Organic Social,fb / Facebook_Desktop_Feed,81.699379,0,0,0,0,0,0,0
Referral,trello.com / referral,78.570411,0,0,0,0,0,0,0
Organic Social,fb / ad,76.708729,0,0,0,0,0,0,0
Paid Search,google / cpc,68.096472,0,0,63907,2127,0,0,0
Referral,nealcabage.com / referral,48.003068,0,0,0,0,0,0,0
Organic Search,bing / organic,41,0,0,0,0,0,0,0
Referral,yopmail.com / referral,32.293552,0,0,0,0,0,0,0
Organic Social,fb / Facebook_Right_Column,22.242234,0,0,0,0,0,0,0
Organic Social,l.facebook.com / referral,17.934093,0,0,0,0,0,0,0
Organic Social,linkedin / social,10,0,0,0,0,0,0,0
Referral,chatgpt.com / referral,10,0,0,0,0,0,0,0
Referral,statics.teams.cdn.office.net / referral,7,0,0,0,0,0,0,0
Referral,academy.hsoub.com / referral,6,0,0,0,0,0,0,0
Organic Social,linkedin.com / referral,5,0,0,0,0,0,0,0
Paid Search,google / ppc,5,0,0,0,0,0,0,0
Referral,app.entrylevel.net / referral,5,0,0,0,0,0,0,0
Referral,link.zhihu.com / referral,4.666666,0,0,0,0,0,0,0
Referral,perplexity.ai / referral,4,0,0,0,0,0,0,0
Referral,mylo.utas.edu.au / referral,3,0,0,0,0,0,0,0
Referral,teamblind.com / referral,3,0,0,0,0,0,0,0
Referral,upwork.com / referral,3,0,0,0,0,0,0,0
Referral,zesium.com / referral,3,0,0,0,0,0,0,0
Email,substack / email,2,0,0,0,0,0,0,0
Organic Search,ecosia.org / organic,2,0,0,0,0,0,0,0
Organic Search,yahoo / organic,2,0,0,0,0,0,0,0
Organic Social,fb / Facebook_Marketplace,2,0,0,0,0,0,0,0
Referral,gemini.google.com / referral,2,0,0,0,0,0,0,0
Referral,mail.qq.com / referral,2,0,0,0,0,0,0,0
Referral,temp-mail.id / referral,2,0,0,0,0,0,0,0
Referral,temp-mail.org / referral,2,0,0,0,0,0,0,0
Referral,wrike.com / referral,2,0,0,0,0,0,0,0
Referral,producthunt.com / referral,1.994908,0,0,0,0,0,0,0
Organic Social,ReviveOldPost / social,1.34721,0,0,0,0,0,0,0
Referral,mail.zoho.in / referral,1.059026,0,0,0,0,0,0,0
Referral,inobram.atlassian.net / referral,1.051654,0,0,0,0,0,0,0
Organic Search,yandex.ru / referral,1,0,0,0,0,0,0,0
Organic Social,medium.com / referral,1,0,0,0,0,0,0,0
Referral,careerfoundry.com / referral,1,0,0,0,0,0,0,0
Referral,forms.office.com / referral,1,0,0,0,0,0,0,0
Referral,learning.onlinemanipal.com / referral,1,0,0,0,0,0,0,0
Referral,us5.admin.mailchimp.com / referral,1,0,0,0,0,0,0,0
Unassigned,chatgpt.com / (not set),1,0,0,0,0,0,0,0
Referral,yuque.antfin.com / referral,0.997821,0,0,0,0,0,0,0
Referral,insights.hotjar.com / referral,0.862833,0,0,0,0,0,0,0
Email,email / email,0.399617,0,0,0,0,0,0,0
Referral,localhost:4200 / referral,0.368153,0,0,0,0,0,0,0
Organic Video,fast.wistia.net / referral,0.333334,0,0,0,0,0,0,0
Referral,login-us.mimecast.com / referral,0.190986,0,0,0,0,0,0,0
Email,email / (not set),0.148273,0,0,0,0,0,0,0
Organic Search,baidu / organic,0.000819,0,0,0,0,0,0,0
Display,google / cpc,0,0,0,21530,571,0,0,0
